="주문번호",="원주문번호",="체결구분",="종목",="매매구분",="주문수량",="체결수량",="주문유형",="접수상태",="주문가격",="체결가격",="STOP가격",="주문일자",="주문시간",="거래일자",="체결시간",="주문자",="주문IP",="주문매체",="통화",="주문금액",="체결금액",="체결조건",="주문시작",="주문종료",
="25GS000287-0000000000-25GS000287",="25GS000287",="신규주문",="GCJ25",="매수",="2",="2",="지정가",="정상접수",="2963.8",="",="0.0",="2025.02.19",="18:33:58",="",="",="scds0326",="192.168.0.22",="HTS",="USD",="592760",="0",="DAY",="20250219",="",
="25GS000287-0000000000-25GS000287",="25GS000287",="체결",="GCJ25",="체결",="0",="2",="",="",="",="2962.6",="0.0",="2025.02.19",="18:33:59",="2025.02.19",="",="",="192.168.0.22",="HTS",="USD",="592760",="592520",="DAY",="20250219",="",
="25GS000289-0000000000-25GS000289",="25GS000289",="신규주문",="GCJ25",="매도",="2",="0",="지정가",="정상접수",="2963.0",="",="0.0",="2025.02.19",="18:34:07",="",="",="scds0326",="192.168.0.22",="HTS",="USD",="592600",="0",="DAY",="20250219",="",
="25GS000289-25GS000289-25GS000294",="25GS000289",="취소주문",="GCJ25",="매도",="2",="0",="지정가",="정상접수",="2963.0",="",="0.0",="2025.02.19",="18:34:23",="",="",="scds0326",="192.168.0.22",="HTS",="USD",="592600",="0",="DAY",="20250219",="",
="25GS000291-0000000000-25GS000291",="25GS000291",="신규주문",="GCJ25",="매도",="2",="2",="STOP",="정상접수",="0.0",="",="2962.2",="2025.02.19",="18:34:11",="",="",="scds0326",="192.168.0.22",="HTS",="USD",="0",="0",="DAY",="20250219",="",
="25GS000291-0000000000-25GS000291",="25GS000291",="체결",="GCJ25",="체결",="0",="2",="",="",="",="2962.2",="0.0",="2025.02.19",="18:34:20",="2025.02.19",="",="",="192.168.0.22",="HTS",="USD",="0",="592440",="DAY",="20250219",="",
="25GS000295-0000000000-25GS000295",="25GS000295",="신규주문",="GCJ25",="매수",="2",="2",="지정가",="정상접수",="2963.2",="",="0.0",="2025.02.19",="18:34:32",="",="",="scds0326",="192.168.0.22",="HTS",="USD",="592640",="0",="DAY",="20250219",="",
="25GS000295-0000000000-25GS000295",="25GS000295",="체결",="GCJ25",="체결",="0",="2",="",="",="",="2962.5",="0.0",="2025.02.19",="18:34:33",="2025.02.19",="",="",="192.168.0.22",="HTS",="USD",="592640",="592500",="DAY",="20250219",="",
="25GS000299-0000000000-25GS000299",="25GS000299",="신규주문",="GCJ25",="매도",="1",="1",="시장가",="정상접수",="0.0",="",="0.0",="2025.02.19",="18:35:11",="",="",="scds0326",="192.168.0.22",="HTS",="USD",="0",="0",="DAY",="20250219",="",
="25GS000299-0000000000-25GS000299",="25GS000299",="체결",="GCJ25",="체결",="0",="1",="",="",="",="2961.6",="0.0",="2025.02.19",="18:35:11",="2025.02.19",="",="",="192.168.0.22",="HTS",="USD",="0",="296160",="DAY",="20250219",="",
="25GS000301-0000000000-25GS000301",="25GS000301",="신규주문",="GCJ25",="매수",="2",="2",="시장가",="정상접수",="0.0",="",="0.0",="2025.02.19",="18:35:37",="",="",="scds0326",="192.168.0.22",="HTS",="USD",="0",="0",="DAY",="20250219",="",
="25GS000301-0000000000-25GS000301",="25GS000301",="체결",="GCJ25",="체결",="0",="2",="",="",="",="2961.3",="0.0",="2025.02.19",="18:35:37",="2025.02.19",="",="",="192.168.0.22",="HTS",="USD",="0",="592260",="DAY",="20250219",="",
="25GS000302-0000000000-25GS000302",="25GS000302",="신규주문",="GCJ25",="매수",="1",="1",="시장가",="정상접수",="0.0",="",="0.0",="2025.02.19",="18:36:05",="",="",="scds0326",="192.168.0.22",="HTS",="USD",="0",="0",="DAY",="20250219",="",
="25GS000302-0000000000-25GS000302",="25GS000302",="체결",="GCJ25",="체결",="0",="1",="",="",="",="2961.6",="0.0",="2025.02.19",="18:36:05",="2025.02.19",="",="",="192.168.0.22",="HTS",="USD",="0",="296160",="DAY",="20250219",="",
="25GS000303-0000000000-25GS000303",="25GS000303",="신규주문",="GCJ25",="매도",="4",="4",="시장가",="정상접수",="0.0",="",="0.0",="2025.02.19",="18:37:02",="",="",="scds0326",="192.168.0.22",="HTS",="USD",="0",="0",="DAY",="20250219",="",
="25GS000303-0000000000-25GS000303",="25GS000303",="체결",="GCJ25",="체결",="0",="3",="",="",="",="2960.8",="0.0",="2025.02.19",="18:37:02",="2025.02.19",="",="",="192.168.0.22",="HTS",="USD",="0",="888240",="DAY",="20250219",="",
="25GS000303-0000000000-25GS000303",="25GS000303",="체결",="GCJ25",="체결",="0",="1",="",="",="",="2960.7",="0.0",="2025.02.19",="18:37:02",="2025.02.19",="",="",="192.168.0.22",="HTS",="USD",="0",="296070",="DAY",="20250219",="",
